               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.023273,            0.021871,           0.0040873,              0.8633,             0.91026,             0.93759,             0.72732,            0.032022,           0.0071858,           0.0017259,            0.007195,            0.007195,            0.007195
                  87,            0.023708,            0.022399,           0.0037713,             0.85368,             0.88887,             0.91977,             0.70013,            0.032337,            0.006933,          0.00090574,            0.007162,            0.007162,            0.007162
                  88,            0.022792,            0.020926,           0.0040883,             0.85182,             0.87179,             0.88713,             0.70353,            0.032049,           0.0073314,           0.0012183,            0.007129,            0.007129,            0.007129
                  89,            0.022213,            0.020503,           0.0043516,             0.88706,             0.88462,              0.9091,             0.66715,            0.034631,           0.0073777,           0.0015605,            0.007096,            0.007096,            0.007096
                  90,            0.022057,            0.021473,            0.004325,             0.91494,             0.86023,             0.92352,             0.68264,            0.033478,           0.0072502,           0.0021227,            0.007063,            0.007063,            0.007063
                  91,            0.022914,            0.021914,           0.0038911,             0.90197,             0.86099,             0.90467,             0.67981,            0.033762,           0.0072379,           0.0032967,             0.00703,             0.00703,             0.00703
                  92,            0.022066,            0.021937,           0.0038882,              0.8923,             0.88286,             0.91013,             0.67798,            0.033674,           0.0068125,           0.0060259,            0.006997,            0.006997,            0.006997
                  93,            0.021936,            0.021736,           0.0039506,             0.87188,             0.93135,             0.91749,             0.69252,            0.031354,           0.0067668,            0.012163,            0.006964,            0.006964,            0.006964
                  94,            0.022027,            0.021229,           0.0040385,             0.89536,             0.93246,             0.92174,             0.68477,            0.032735,           0.0066688,            0.008044,            0.006931,            0.006931,            0.006931
                  95,            0.021738,            0.020632,           0.0040444,             0.83897,             0.95147,              0.9199,             0.70659,            0.029343,           0.0067375,           0.0043748,            0.006898,            0.006898,            0.006898
                  96,            0.022132,            0.021185,           0.0039824,             0.93423,             0.85842,             0.92702,             0.68674,            0.031398,           0.0067884,           0.0071953,            0.006865,            0.006865,            0.006865
                  97,            0.021677,            0.020937,           0.0042107,             0.91225,             0.86655,             0.91164,             0.65486,            0.033935,           0.0072569,           0.0047629,            0.006832,            0.006832,            0.006832
                  98,            0.022563,            0.020259,           0.0037545,             0.92687,             0.86919,             0.91062,             0.66219,             0.03463,           0.0068421,            0.006448,            0.006799,            0.006799,            0.006799
                  99,            0.022196,            0.021088,           0.0039582,             0.90085,             0.89869,             0.92364,             0.68401,            0.031473,           0.0066862,            0.003377,            0.006766,            0.006766,            0.006766
                 100,            0.021559,            0.020757,           0.0040403,             0.87596,             0.90504,             0.91625,             0.68608,            0.032549,            0.007137,           0.0022064,            0.006733,            0.006733,            0.006733
                 101,            0.021678,             0.02045,           0.0039708,             0.88759,             0.89659,              0.9185,             0.65789,            0.033885,           0.0069401,           0.0018117,              0.0067,              0.0067,              0.0067
                 102,             0.02183,            0.019712,           0.0038324,             0.89602,             0.89983,             0.93733,             0.69123,            0.032499,           0.0071409,           0.0015204,            0.006667,            0.006667,            0.006667
                 103,            0.021891,            0.020702,           0.0040311,             0.86091,             0.94536,             0.92497,             0.72864,            0.031539,           0.0072729,           0.0023256,            0.006634,            0.006634,            0.006634
                 104,             0.02148,             0.02075,            0.003713,             0.85646,             0.93816,             0.92603,             0.66931,             0.03241,           0.0070741,            0.002825,            0.006601,            0.006601,            0.006601
                 105,            0.021206,            0.020017,           0.0035953,             0.90495,             0.90478,             0.94247,             0.69232,            0.033066,            0.007638,           0.0030546,            0.006568,            0.006568,            0.006568
                 106,            0.021495,             0.01978,           0.0038162,             0.89051,             0.88314,             0.92833,             0.68915,            0.032023,            0.006861,           0.0026274,            0.006535,            0.006535,            0.006535
                 107,            0.020953,            0.020125,           0.0035531,             0.91686,             0.91088,             0.95123,             0.68353,            0.030957,             0.00656,           0.0049696,            0.006502,            0.006502,            0.006502
                 108,            0.021036,            0.019801,           0.0040717,             0.92141,             0.91685,              0.9398,             0.69978,            0.030284,           0.0067171,           0.0096534,            0.006469,            0.006469,            0.006469
                 109,            0.020776,             0.02013,           0.0038689,             0.92646,             0.93204,             0.94327,              0.7125,            0.031959,           0.0069046,            0.013471,            0.006436,            0.006436,            0.006436
                 110,            0.020871,            0.020786,           0.0035954,             0.92266,             0.86609,              0.9111,               0.659,            0.035057,           0.0068755,           0.0089357,            0.006403,            0.006403,            0.006403
                 111,            0.021068,            0.020074,           0.0039651,              0.8927,             0.87228,               0.908,             0.70604,            0.035013,           0.0070351,           0.0053628,             0.00637,             0.00637,             0.00637
                 112,             0.02158,            0.019924,           0.0037435,             0.88833,              0.9237,             0.91784,             0.71065,            0.031836,           0.0070118,           0.0064237,            0.006337,            0.006337,            0.006337
                 113,            0.020655,            0.020824,           0.0038892,             0.93556,             0.91719,               0.931,             0.68803,            0.029599,           0.0072277,           0.0078112,            0.006304,            0.006304,            0.006304
                 114,            0.020845,            0.020022,           0.0036437,             0.92392,              0.9143,             0.93247,             0.71483,            0.028993,           0.0074496,            0.011257,            0.006271,            0.006271,            0.006271
                 115,            0.021218,            0.019414,           0.0038621,             0.91983,             0.86023,             0.91936,             0.74458,            0.030318,           0.0071812,           0.0080026,            0.006238,            0.006238,            0.006238
                 116,            0.021294,            0.020056,           0.0034871,             0.90314,             0.88106,             0.92834,             0.71852,            0.030634,           0.0071083,           0.0038953,            0.006205,            0.006205,            0.006205
                 117,            0.020526,            0.019153,           0.0035533,             0.87032,             0.92307,               0.936,              0.6995,             0.03153,           0.0071601,           0.0042319,            0.006172,            0.006172,            0.006172
                 118,            0.021052,            0.020054,           0.0039146,             0.89256,             0.90994,             0.94758,             0.69844,            0.030838,           0.0068543,           0.0043962,            0.006139,            0.006139,            0.006139
                 119,            0.020714,            0.020313,           0.0036078,             0.88322,             0.85144,             0.88183,             0.66641,            0.034837,           0.0074362,           0.0042561,            0.006106,            0.006106,            0.006106
                 120,            0.020487,            0.019004,           0.0038404,             0.93232,             0.87305,             0.91279,             0.68925,             0.03184,           0.0076454,           0.0029917,            0.006073,            0.006073,            0.006073
                 121,            0.020325,            0.019259,           0.0033948,             0.88825,             0.92433,             0.93515,             0.69815,            0.029255,           0.0069983,           0.0030184,             0.00604,             0.00604,             0.00604
                 122,            0.020218,            0.019416,           0.0034785,             0.86138,             0.93652,             0.94052,             0.72252,            0.028552,           0.0067537,           0.0025435,            0.006007,            0.006007,            0.006007
                 123,             0.02025,            0.018815,           0.0034749,             0.92263,             0.86607,             0.93065,             0.72029,            0.028637,           0.0068871,           0.0025294,            0.005974,            0.005974,            0.005974
                 124,             0.02034,             0.01902,           0.0040537,             0.88858,              0.8474,             0.90271,             0.69654,            0.031074,           0.0074461,           0.0032527,            0.005941,            0.005941,            0.005941
                 125,            0.020417,            0.019032,           0.0037276,              0.9257,             0.85946,             0.91669,             0.71718,            0.032893,           0.0076638,           0.0056561,            0.005908,            0.005908,            0.005908
                 126,            0.019666,            0.019233,           0.0035876,             0.88124,             0.92776,             0.93631,             0.71904,            0.030828,            0.007198,           0.0070315,            0.005875,            0.005875,            0.005875
                 127,            0.019885,             0.01946,           0.0036929,              0.9003,             0.91509,             0.93027,             0.71974,            0.032505,           0.0067073,           0.0047467,            0.005842,            0.005842,            0.005842
                 128,            0.019935,            0.018223,           0.0035032,             0.88135,             0.90333,             0.91335,             0.70283,            0.033196,           0.0069109,           0.0043844,            0.005809,            0.005809,            0.005809
                 129,             0.02013,            0.019071,           0.0034432,             0.86529,              0.9121,             0.91836,             0.70982,            0.033893,           0.0069942,           0.0046189,            0.005776,            0.005776,            0.005776
                 130,            0.019705,            0.018296,           0.0037674,             0.87761,             0.88474,             0.92965,             0.71387,            0.033307,           0.0068804,           0.0027528,            0.005743,            0.005743,            0.005743
                 131,            0.020529,            0.019114,            0.003445,             0.94134,             0.84678,             0.92779,              0.7051,            0.031975,           0.0070746,           0.0025876,             0.00571,             0.00571,             0.00571
                 132,            0.020226,            0.019836,           0.0036403,             0.89203,             0.86456,             0.88947,             0.70475,            0.033027,           0.0078758,           0.0034419,            0.005677,            0.005677,            0.005677
